Zone,Block,Pipe,Location_Code,Latitude,Longitude,Total_Records,Total_Leaks,Leak_Rate,Avg_Pressure,Avg_Flow_Rate
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.194655021273316,55.27216485299021,1,0,0,61.35338347892291,84.96558354
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.197038940326927,55.27843250214651,1,0,0,82.72434720446881,75.67774606366225
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.19786591774525,55.27704625,1,1,1,47.791563500289776,115.91542850873677
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.197903903506017,55.26326008751135,1,0,0,66.59451241113612,85.77818978389031
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.19857607,55.27090404407348,1,0,0,54.29648633586319,74.29944731
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.19872773944984,55.26171016115799,1,0,0,57.05757494363542,91.38472543190169
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.19920920518933,55.27129586555588,1,0,0,56.70552213652908,76.77329299744265
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.199730530472426,55.27479047236133,1,0,0,63.520553965142966,80.38077916958407
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.199928559693127,55.26633083863111,1,0,0,55.024275016907865,86.23704088580668
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.20126853,55.27015302,1,0,0,69.52874547202939,87.38021420850347
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.201562037444397,55.267591080883456,1,0,0,66.15367484013053,42.60784251
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.202546958912595,55.26801993700728,1,0,0,68.61436525632806,84.25866588104572
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.202627869587715,55.27147702856541,1,0,0,54.26337993119763,79.17832459491763
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.202883408344665,55.27973689,1,0,0,63.93307050005323,93.45195998049851
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.20319330859777,55.27156553,1,0,0,64.27194361871685,65.09610494102827
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.20406987499895,55.266718593941285,1,0,0,68.72320636720679,118.57992976242454
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.204326656692164,55.27682551139385,1,0,0,57.85932302272138,107.72060287656277
Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.204337129713643,55.26965094,1,0,0,58.556395880760576,69.92731689529181
